Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,116.27,152.58,93.5,136.53,142.91,5537871
2022-03-28,119.43,154.59,90.58,123.26,140.95,1291464
2022-03-29,113.57,159.8,99.69,103.01,127.04,5739400
2022-03-30,141.44,154.93,98.84,128.11,135.51,1118581
2022-03-31,117.84,153.29,99.28,147.88,115.72,6370807
2022-04-01,114.05,156.33,99.95,108.77,123.56,4852256
2022-04-04,127.13,152.4,91.74,134.5,141.08,9727148
2022-04-05,107.05,150.76,93.96,110.05,122.96,1501590
2022-04-06,140.11,151.29,97.58,126.79,117.89,4360492
2022-04-07,103.73,151.28,96.96,104.83,124.71,1872328
2022-04-08,149.34,151.52,91.54,122.52,141.41,5809479
2022-04-11,138.61,151.39,98.16,137.81,116.76,4110691
2022-04-12,109.94,156.41,92.24,117.38,108.69,2358097
2022-04-13,100.28,151.82,92.24,133.25,135.6,9313157
2022-04-14,140.77,153.46,95.37,139.77,141.3,2294315
2022-04-15,135.34,158.97,95.93,146.36,105.03,7087595
2022-04-18,136.45,154.74,95.8,111.73,111.99,3575508
2022-04-19,138.56,156.68,90.91,119.97,107.1,5510784
2022-04-20,103.7,151.72,98.77,107.62,117.4,1164074
2022-04-21,117.92,151.92,92.66,149.62,122.52,3570466
2022-04-22,105.79,150.41,91.3,146.35,137.44,4287093
2022-04-25,143.16,151.69,98.89,127.0,132.56,2017481
2022-04-26,131.16,152.79,99.56,142.1,131.05,4594804
2022-04-27,116.54,151.77,98.62,126.05,117.62,9451115
2022-04-28,103.18,150.89,98.1,131.18,142.07,3338377
2022-04-29,115.55,151.21,96.55,104.46,123.56,1806564
2022-05-02,116.26,154.61,95.51,137.76,148.96,4918949
2022-05-03,136.48,152.06,90.87,106.39,131.71,7047511
2022-05-04,131.88,153.64,94.08,141.3,106.31,1737954
2022-05-05,144.36,155.03,93.73,139.1,133.81,3908056
2022-05-06,123.61,156.9,92.6,135.44,116.26,8840130
2022-05-09,105.98,150.39,97.23,101.81,134.32,9357998
2022-05-10,135.66,157.99,94.96,115.16,103.48,6934261
2022-05-11,138.04,156.28,90.81,113.16,108.74,5510579
2022-05-12,128.06,150.82,92.2,118.01,142.79,8563493
2022-05-13,138.55,158.74,96.83,104.38,111.36,3535232
2022-05-16,124.69,159.21,90.76,146.85,141.85,8704694
2022-05-17,126.14,150.61,98.51,127.69,113.96,3378907
2022-05-18,121.38,152.77,94.95,115.28,132.14,7990607
2022-05-19,101.27,158.06,94.81,119.85,134.71,5532688
2022-05-20,105.39,157.48,95.92,122.36,125.63,8579751
2022-05-23,101.57,151.85,98.25,130.03,115.27,8133131
2022-05-24,131.82,152.09,93.48,125.78,110.63,3363162
2022-05-25,115.72,153.7,96.78,145.97,101.66,5881909
2022-05-26,125.43,154.85,95.66,124.85,115.2,6680820
2022-05-27,145.38,156.18,92.67,149.61,132.66,3692794
2022-05-30,112.46,153.69,98.79,142.57,146.92,3345704
2022-05-31,120.52,154.63,97.97,110.43,143.56,9811940
2022-06-01,137.78,157.47,96.58,146.53,138.3,9220038
2022-06-02,111.44,150.37,98.51,105.82,139.42,9277983
2022-06-03,103.85,152.52,98.67,140.87,133.25,1292575
2022-06-06,114.49,157.13,97.08,119.03,113.01,2459700
2022-06-07,108.06,158.95,98.37,143.9,145.36,9417944
2022-06-08,146.48,155.12,96.97,143.4,133.54,4201078
2022-06-09,140.41,155.32,96.8,140.3,128.02,3607622
2022-06-10,131.67,151.07,96.19,139.5,105.55,2886963
2022-06-13,143.57,154.47,97.53,115.23,122.35,6304120
2022-06-14,140.18,155.33,91.59,104.05,123.02,3772605
2022-06-15,109.33,152.42,98.81,120.15,143.23,2447947
2022-06-16,144.63,152.69,98.72,108.68,127.33,6813775
2022-06-17,126.97,153.77,90.29,134.75,119.02,8242447
2022-06-20,140.37,150.2,98.26,117.3,148.84,9278499
2022-06-21,144.8,153.22,91.29,148.78,105.54,7472652
2022-06-22,115.9,152.11,93.35,132.05,121.13,7606470
2022-06-23,105.5,153.27,97.44,141.12,102.1,2498339
2022-06-24,111.4,151.2,91.61,106.63,137.0,1676296
2022-06-27,121.36,158.91,98.18,143.1,145.9,1379039
2022-06-28,140.9,155.94,98.32,146.14,114.0,1528714
2022-06-29,143.04,156.79,95.07,124.35,142.92,8035655
2022-06-30,100.35,157.89,90.06,130.31,114.61,9368352
2022-07-01,125.54,154.98,92.87,138.24,145.54,3911190
2022-07-04,120.87,150.87,96.17,108.74,137.7,9941047
2022-07-05,111.11,155.37,99.81,125.13,140.25,5142535
2022-07-06,105.99,155.87,96.32,119.93,100.9,1273452
2022-07-07,116.88,157.45,92.6,107.32,148.14,5371047
2022-07-08,147.15,154.32,96.34,118.38,136.33,8184872
2022-07-11,116.16,151.28,95.4,103.41,115.24,3189921
2022-07-12,125.94,152.84,97.8,101.29,141.47,8427297
2022-07-13,135.15,153.63,91.07,106.76,114.08,4198156
2022-07-14,118.18,156.46,97.61,148.16,143.64,6801038
2022-07-15,148.59,155.71,95.41,127.48,105.63,5822139
2022-07-18,148.12,153.56,99.63,148.29,135.18,5954582
2022-07-19,112.59,159.87,93.42,121.62,127.03,1762371
2022-07-20,124.86,156.06,96.33,115.59,104.83,4257945
2022-07-21,115.04,152.37,99.32,125.31,112.09,9279143
2022-07-22,114.24,151.02,91.03,121.98,100.62,6661064
2022-07-25,101.84,151.53,99.37,105.28,123.44,4768950
2022-07-26,130.48,152.46,96.88,132.04,115.06,1142980
2022-07-27,125.13,151.61,90.68,110.8,129.92,7500785
2022-07-28,102.57,151.87,93.01,130.98,114.86,1257354
2022-07-29,113.93,152.85,97.08,132.51,115.0,8863438
2022-08-01,145.41,151.73,90.67,107.6,137.16,6954075
2022-08-02,111.98,158.97,95.82,103.07,102.41,8972368
2022-08-03,107.24,150.8,93.46,139.04,145.14,3235883
2022-08-04,124.47,155.25,96.21,122.99,142.61,1764265
2022-08-05,149.28,154.1,90.46,102.91,133.39,7630840
2022-08-08,112.1,159.82,98.72,149.74,129.66,6668889
2022-08-09,133.61,151.12,99.73,102.89,144.62,1308617
2022-08-10,138.08,153.98,99.69,134.75,109.27,1744748
2022-08-11,111.88,159.69,97.5,149.18,103.95,6087692
2022-08-12,136.41,158.66,91.3,111.96,111.98,1734275
2022-08-15,118.39,158.17,97.58,107.11,139.73,7214638
2022-08-16,131.62,152.58,90.25,106.07,101.73,9987114
2022-08-17,131.68,151.71,90.22,115.16,129.14,6439296
2022-08-18,126.79,156.69,93.24,105.05,149.77,7194224
2022-08-19,104.51,159.29,94.89,134.61,142.78,9945326
2022-08-22,141.77,155.57,97.7,103.11,126.07,7024293
2022-08-23,116.04,155.72,96.83,125.47,103.18,7193367
2022-08-24,109.33,152.8,94.46,149.83,141.57,6318331
2022-08-25,102.04,157.69,92.74,140.7,129.95,9741022
2022-08-26,129.54,151.87,99.97,130.76,105.75,3963944
2022-08-29,133.88,153.24,94.26,115.31,104.69,4948401
2022-08-30,100.83,154.25,94.51,131.19,145.48,1124932
2022-08-31,125.6,155.08,91.64,126.35,133.46,6234259
2022-09-01,111.32,152.42,97.95,121.3,141.46,9656691
2022-09-02,132.26,151.15,96.94,106.54,143.95,7850807
2022-09-05,108.72,156.11,92.21,144.33,128.59,7280757
2022-09-06,134.55,152.89,90.82,122.49,125.87,7784672
2022-09-07,119.34,155.81,96.8,109.73,121.52,4877809
2022-09-08,146.84,151.54,96.55,118.39,115.85,5876709
2022-09-09,106.88,154.81,92.73,120.71,121.73,3592316
2022-09-12,117.05,155.33,99.51,141.38,138.69,6895725
2022-09-13,105.67,150.52,91.51,136.68,130.1,9677828
2022-09-14,146.23,153.37,94.32,138.47,144.63,6438757
2022-09-15,143.87,151.34,99.44,100.55,122.17,3664749
2022-09-16,112.9,150.63,94.2,120.81,130.35,7728926
2022-09-19,133.0,159.9,96.39,124.07,131.57,4999453
2022-09-20,140.86,153.22,93.98,100.96,129.58,8246813
2022-09-21,127.76,158.1,92.74,112.99,135.13,3921989
2022-09-22,126.48,152.55,99.84,138.01,111.87,1984156
2022-09-23,112.09,156.82,94.09,106.86,125.62,4713543
2022-09-26,104.66,157.6,98.94,126.77,105.21,2203920
2022-09-27,144.86,155.96,92.3,110.76,119.23,4108591
2022-09-28,145.02,154.72,92.13,100.61,124.38,1747852
2022-09-29,131.66,154.12,90.31,112.06,132.61,6296990
2022-09-30,116.95,153.49,96.52,148.79,147.53,7928655
2022-10-03,117.46,159.3,93.69,140.08,130.03,2821367
2022-10-04,136.3,158.31,98.64,147.98,137.18,4372863
2022-10-05,144.86,159.65,94.73,124.39,125.31,3899033
2022-10-06,144.35,151.24,99.68,105.49,131.71,2578315
2022-10-07,138.99,157.31,91.86,127.4,103.55,8427210
2022-10-10,132.1,159.38,98.69,122.72,112.72,9298852
2022-10-11,104.21,151.81,97.77,142.22,118.09,7093073
2022-10-12,108.08,150.66,97.71,104.9,123.62,2349590
2022-10-13,144.93,157.41,98.45,124.41,102.28,6366645
2022-10-14,130.32,155.74,97.61,107.5,107.0,6629905
2022-10-17,100.46,158.42,96.26,116.23,113.84,4045529
2022-10-18,105.07,151.4,91.31,136.87,148.58,6440107
2022-10-19,133.18,157.95,90.33,123.8,116.57,8103260
2022-10-20,100.25,152.02,99.21,118.79,124.1,8081530
2022-10-21,108.04,151.64,96.17,119.72,109.8,3897706
2022-10-24,127.44,151.64,97.97,122.97,130.54,9282356
2022-10-25,134.59,158.15,94.82,139.25,114.03,4201473
2022-10-26,132.6,156.65,91.17,144.6,110.35,7507660
2022-10-27,111.21,155.23,91.25,147.77,125.83,2449991
2022-10-28,135.61,153.59,96.86,139.35,100.28,7039523
2022-10-31,111.86,158.77,94.3,115.77,100.38,6353966
2022-11-01,116.27,153.92,92.01,134.41,110.95,7747741
2022-11-02,137.32,158.17,94.92,121.88,101.84,6168554
2022-11-03,132.48,154.39,90.64,112.73,105.4,1424528
2022-11-04,142.46,153.77,95.82,142.04,116.94,8990001
2022-11-07,132.88,154.63,92.69,101.92,140.13,7450219
2022-11-08,128.42,153.01,97.98,145.09,128.6,2650824
2022-11-09,104.68,157.48,93.1,123.07,125.63,6265481
2022-11-10,118.39,155.03,94.55,131.86,114.67,7702692
2022-11-11,113.26,152.32,90.12,132.97,146.59,9527835
2022-11-14,112.2,159.0,90.72,144.76,119.85,2773055
2022-11-15,148.65,153.84,93.92,131.83,104.35,6192859
2022-11-16,119.65,155.44,94.8,130.7,130.85,1281854
2022-11-17,144.6,159.06,96.0,103.33,105.69,7662314
2022-11-18,131.56,156.24,92.92,125.92,117.26,6830395
2022-11-21,139.74,151.17,96.95,107.51,125.37,2657153
2022-11-22,125.13,159.4,98.6,136.87,143.71,8083610
2022-11-23,128.85,156.28,97.8,125.61,124.68,8842680
2022-11-24,124.63,153.35,90.4,134.01,135.11,2806684
2022-11-25,109.76,151.39,94.81,102.08,149.64,2809858
2022-11-28,136.12,157.94,91.05,104.24,106.57,1479083
2022-11-29,114.04,156.2,92.42,135.82,113.74,2901740
2022-11-30,101.22,155.33,99.87,103.6,119.73,6648393
2022-12-01,132.27,158.94,91.42,103.56,121.09,7284725
2022-12-02,108.86,157.89,94.99,100.61,120.55,8752950
2022-12-05,147.02,151.52,96.18,147.83,145.38,7709914
2022-12-06,147.7,153.12,97.02,136.88,135.7,8395873
2022-12-07,145.74,152.48,95.6,117.66,130.4,5584946
2022-12-08,118.51,157.44,90.1,114.83,115.47,9343199
2022-12-09,100.77,150.34,93.26,117.49,141.19,5301400
2022-12-12,146.42,155.7,95.18,138.73,147.75,5641094
2022-12-13,121.41,157.62,90.88,133.07,141.06,3707184
2022-12-14,148.33,158.77,93.51,109.26,100.08,8873491
2022-12-15,148.18,153.42,90.33,108.71,131.82,4770771
2022-12-16,142.65,158.21,90.79,104.92,102.56,2540724
2022-12-19,114.72,151.11,93.97,133.02,112.88,6875293
2022-12-20,119.25,158.46,91.33,138.22,102.98,2965730
2022-12-21,142.56,151.27,95.68,113.25,130.19,8343728
2022-12-22,115.85,153.97,96.89,101.05,134.33,8097037
2022-12-23,108.47,157.97,98.01,104.11,105.72,5062224
2022-12-26,127.84,151.5,92.0,148.39,119.19,2094316
2022-12-27,146.81,152.29,91.67,114.77,122.81,5300915
2022-12-28,134.8,157.22,91.05,138.46,118.45,7760403
2022-12-29,128.5,157.2,96.36,131.23,106.05,7620241
2022-12-30,104.86,156.41,97.06,119.1,120.95,2636675
2023-01-02,130.75,156.94,90.32,110.28,137.56,1801849
2023-01-03,149.5,155.43,99.36,106.07,103.55,2161068
2023-01-04,107.0,152.52,90.52,130.75,104.01,8370131
2023-01-05,125.92,153.46,95.41,138.73,117.74,2035891
2023-01-06,143.87,151.82,97.09,132.2,147.09,1753494
2023-01-09,137.04,159.08,98.71,126.52,133.43,9811785
2023-01-10,134.85,155.83,97.14,102.1,133.93,8611432
2023-01-11,135.12,154.01,98.02,148.42,118.1,4704697
2023-01-12,117.97,154.62,93.39,139.94,129.68,6277420
2023-01-13,114.68,159.47,98.15,114.64,100.51,6327580
2023-01-16,140.47,151.53,90.8,149.0,131.8,8272003
2023-01-17,140.51,155.86,98.95,130.09,145.66,2760511
2023-01-18,143.35,155.06,95.48,129.12,130.63,4541815
2023-01-19,145.66,156.11,98.17,137.4,143.68,9434610
2023-01-20,125.57,150.18,94.52,140.59,136.2,8389844
2023-01-23,125.08,158.72,96.44,132.82,106.03,5610146
2023-01-24,139.91,159.32,95.26,106.4,145.12,5139289
2023-01-25,132.5,155.65,97.32,116.91,103.32,6351826
2023-01-26,135.1,156.97,90.82,146.4,126.7,7390459
2023-01-27,139.79,159.22,90.6,111.23,107.11,2784006
2023-01-30,144.5,157.07,92.47,118.61,100.59,7072310
2023-01-31,116.9,151.53,91.6,121.6,121.1,5913478
2023-02-01,118.78,155.76,98.72,121.97,114.75,9303143
2023-02-02,104.7,156.07,92.19,130.65,124.3,7353300
2023-02-03,128.91,154.24,99.76,147.15,128.86,6968333
2023-02-06,101.8,157.36,93.37,112.03,102.19,7210958
2023-02-07,123.28,159.34,91.82,106.08,106.15,7601457
2023-02-08,127.13,159.26,97.9,109.87,127.93,7679155
2023-02-09,114.33,154.51,96.59,144.35,117.16,6737580
2023-02-10,129.54,151.13,94.98,132.29,136.46,6525724
2023-02-13,101.53,159.85,95.55,114.3,132.61,7025095
2023-02-14,101.87,158.39,97.19,140.8,142.28,1225391
2023-02-15,141.13,151.25,92.28,143.07,134.62,7698541
2023-02-16,118.01,159.21,99.96,142.33,121.5,1191387
2023-02-17,106.35,158.7,99.75,145.95,133.65,4632632
2023-02-20,126.11,155.19,96.5,112.61,113.77,5608474
2023-02-21,138.5,155.91,92.0,137.75,115.32,3535394
2023-02-22,110.79,153.99,96.8,123.03,139.45,6596526
2023-02-23,131.14,150.55,90.72,142.1,122.32,4291070
2023-02-24,104.27,153.35,90.31,136.42,139.92,1686268
2023-02-27,102.58,158.03,92.58,138.82,141.12,1801955
2023-02-28,126.57,150.05,94.63,132.81,142.88,3013148
2023-03-01,127.03,153.33,98.68,108.87,145.83,7835735
2023-03-02,131.87,153.98,97.27,127.25,121.55,5467223
2023-03-03,136.3,155.37,97.43,149.23,115.94,3444291
2023-03-06,148.79,159.2,94.25,146.87,129.11,1147745
2023-03-07,125.82,153.46,93.46,102.16,118.56,4792824
2023-03-08,116.15,153.47,93.71,108.24,130.05,1137686
2023-03-09,139.76,157.38,99.88,106.59,135.28,6250295
2023-03-10,113.54,154.52,90.4,136.3,134.42,5151923
2023-03-13,121.95,152.25,98.67,140.89,118.73,6679980
2023-03-14,103.92,154.52,95.79,110.68,108.34,6149534
2023-03-15,101.27,151.41,94.39,125.29,121.53,4314344
2023-03-16,148.13,151.76,97.25,142.04,107.13,1049976
2023-03-17,141.8,154.98,94.87,136.64,144.5,3522620
2023-03-20,134.8,154.19,98.73,127.11,117.29,3027320
2023-03-21,120.45,159.15,99.01,129.52,107.72,2812105
2023-03-22,108.66,153.62,94.22,125.42,101.27,6761703
2023-03-23,107.82,155.81,92.77,114.88,132.29,2947238
2023-03-24,112.51,156.32,95.92,128.25,131.85,7330034
2023-03-27,127.46,150.13,99.12,134.44,117.03,5809045
2023-03-28,135.73,156.64,92.11,143.67,103.59,9597467
2023-03-29,133.01,151.78,96.23,131.81,120.48,7402891
2023-03-30,114.0,159.61,96.32,138.06,115.56,8031845
2023-03-31,147.74,151.49,97.33,108.0,133.86,6394418
2023-04-03,136.89,154.15,91.32,123.08,130.29,1045475
2023-04-04,127.72,150.85,97.16,100.47,118.23,9080552
2023-04-05,130.59,159.97,99.09,112.33,110.89,4303364
2023-04-06,120.98,155.02,91.8,136.32,149.4,6396364
2023-04-07,112.39,155.95,92.38,149.59,122.7,4239254
2023-04-10,117.8,150.67,99.71,104.96,134.41,2099577
2023-04-11,137.89,157.5,91.81,120.07,107.03,7483485
2023-04-12,100.72,152.1,98.54,140.0,124.28,5623037
2023-04-13,105.8,158.98,94.92,110.2,101.38,7959972
2023-04-14,102.3,152.05,92.47,127.75,125.27,8232024
2023-04-17,102.04,151.91,98.71,136.65,148.2,2602970
2023-04-18,142.77,150.37,94.45,130.8,119.21,9191922
2023-04-19,135.18,154.72,95.15,109.4,101.95,9274125
2023-04-20,123.71,155.65,93.59,117.77,101.55,2531064
2023-04-21,104.89,150.66,95.93,139.19,119.4,5411887
2023-04-24,124.58,157.76,91.64,127.71,108.0,9615797
2023-04-25,123.67,154.53,93.91,100.26,101.17,3076198
2023-04-26,108.66,155.24,99.69,138.05,137.81,8466511
2023-04-27,121.69,154.41,92.58,101.77,122.93,2468919
2023-04-28,119.93,154.01,96.57,137.29,114.46,4281941
2023-05-01,130.79,155.6,93.25,110.12,145.0,4410580
2023-05-02,131.75,151.55,97.73,147.9,105.81,5999111
2023-05-03,102.27,151.82,91.31,118.4,147.8,4685104
2023-05-04,118.73,158.62,99.7,116.35,115.7,8659791
2023-05-05,131.29,159.46,94.54,107.44,144.42,2420858
2023-05-08,125.16,153.73,92.36,115.28,130.15,2748982
2023-05-09,142.82,152.71,90.73,143.83,141.34,7563614
2023-05-10,132.93,156.44,91.7,149.82,149.2,5896799
2023-05-11,108.15,154.09,95.2,118.42,114.42,9466685
2023-05-12,103.53,150.25,93.37,122.43,148.06,8479816
2023-05-15,132.12,151.56,98.29,136.1,119.47,7007509
2023-05-16,101.33,157.16,94.31,144.31,119.28,5445818
2023-05-17,129.29,156.59,92.49,129.65,117.02,6122964
2023-05-18,147.01,150.27,96.17,119.58,127.07,7433636
2023-05-19,128.77,152.22,97.07,120.63,107.71,5095077
2023-05-22,119.41,152.31,91.67,134.78,127.69,7263998
2023-05-23,132.16,156.72,91.68,100.16,127.09,5630232
2023-05-24,122.91,150.2,90.37,130.98,138.1,1920114
2023-05-25,127.28,151.04,97.36,117.77,141.68,9990499
2023-05-26,147.07,158.0,96.64,139.71,122.02,9147047
2023-05-29,119.31,151.79,94.75,104.65,115.12,3182926
2023-05-30,148.06,156.53,98.44,129.41,112.97,3485670
2023-05-31,145.27,152.38,98.06,124.05,109.73,4344250
2023-06-01,109.79,150.99,95.85,132.12,102.88,5023278
2023-06-02,103.47,152.43,98.68,103.24,117.12,1537977
2023-06-05,105.04,157.22,92.06,129.0,113.51,4668280
2023-06-06,100.91,158.56,91.12,128.07,148.32,3723408
2023-06-07,104.72,158.3,92.7,128.03,127.89,5784808
2023-06-08,134.15,153.97,90.57,130.17,117.36,7637640
2023-06-09,103.56,156.68,95.31,133.82,129.02,7837388
2023-06-12,115.95,152.05,99.37,140.25,106.96,5654419
2023-06-13,142.24,152.93,90.39,113.49,122.2,9430899
2023-06-14,101.16,158.96,91.22,141.25,131.31,5622580
2023-06-15,140.72,150.13,94.52,124.91,124.44,5589058
2023-06-16,114.09,150.86,99.34,103.85,120.09,8245136
2023-06-19,105.91,152.08,93.16,102.93,149.69,9379966
2023-06-20,134.84,150.27,95.07,116.71,144.02,3122827
2023-06-21,131.45,151.81,90.42,139.24,131.17,8432300
2023-06-22,143.87,155.83,91.48,135.38,128.47,8637174
2023-06-23,136.75,154.21,99.87,139.43,131.03,1708672
2023-06-26,140.17,158.93,99.65,125.86,110.07,7921154
2023-06-27,114.1,158.17,90.05,122.01,119.76,9725977
2023-06-28,108.87,153.42,99.52,107.37,101.97,5507167
2023-06-29,137.53,152.59,96.39,116.41,123.78,3227039
2023-06-30,140.34,153.8,98.68,121.7,127.15,1296063
2023-07-03,149.53,155.9,94.55,104.43,111.39,2383875
2023-07-04,120.63,152.68,95.16,111.03,148.2,7625169
2023-07-05,118.6,156.24,94.89,129.91,145.47,2876336
2023-07-06,138.82,154.09,96.67,136.78,136.11,8541586
2023-07-07,117.04,155.52,91.4,149.92,126.67,4956778
2023-07-10,146.54,154.36,90.3,146.66,143.5,3887757
2023-07-11,142.92,152.94,93.08,132.13,106.53,3468665
2023-07-12,121.45,159.48,97.05,121.06,139.53,7472973
2023-07-13,137.54,157.64,92.02,131.81,106.24,1692924
2023-07-14,137.73,151.4,96.73,139.28,139.71,3570115
2023-07-17,105.16,158.68,99.7,105.92,113.79,2661655
2023-07-18,145.13,154.87,90.94,120.5,143.85,8499066
2023-07-19,125.26,158.95,96.73,141.99,147.2,5672412
2023-07-20,141.32,158.0,94.44,119.19,107.44,4100498
2023-07-21,116.0,154.25,98.68,128.59,123.13,8181479
2023-07-24,144.78,150.22,91.77,129.39,149.05,4811666
2023-07-25,119.46,152.69,96.93,109.22,124.17,4819712
2023-07-26,100.54,155.42,98.38,118.11,143.18,2033668
2023-07-27,145.27,156.33,99.45,116.73,129.44,8712079
2023-07-28,104.56,152.58,96.83,101.31,118.77,6604327
2023-07-31,115.97,151.39,94.97,101.21,114.29,3473199
2023-08-01,147.5,158.35,96.18,141.58,110.16,9271330
2023-08-02,147.53,159.84,98.69,113.65,138.09,9686283
2023-08-03,128.67,155.26,95.71,125.9,119.33,1708175
2023-08-04,131.59,151.72,90.3,114.94,125.56,2867306
2023-08-07,122.42,152.72,99.31,147.03,124.62,9652233
2023-08-08,114.66,150.18,96.9,112.96,128.86,1842840
2023-08-09,116.43,159.14,96.77,121.48,143.28,5394643
2023-08-10,133.63,151.18,92.16,143.64,149.04,6889118
2023-08-11,137.62,155.77,96.59,142.1,120.38,6128643
2023-08-14,139.58,152.74,93.94,109.31,141.38,1125355
2023-08-15,139.48,155.54,96.51,140.13,138.23,5222102
2023-08-16,104.56,156.51,91.07,122.91,128.68,1615937
2023-08-17,124.72,158.3,96.58,124.15,147.8,2375607
2023-08-18,102.88,152.06,99.99,106.67,110.02,1019477
2023-08-21,127.48,150.11,90.48,104.03,105.46,4556210
2023-08-22,122.08,151.37,99.77,136.4,142.7,7508856
2023-08-23,144.39,159.0,94.07,124.82,121.96,3487111
2023-08-24,117.55,158.74,98.71,121.84,142.35,3009606
2023-08-25,105.85,155.97,97.82,136.48,144.65,2559757
2023-08-28,107.15,156.01,95.67,138.28,103.12,8315830
2023-08-29,138.08,156.65,97.38,107.95,144.17,7156738
2023-08-30,130.91,151.75,98.79,130.51,122.42,4432207
2023-08-31,105.06,159.14,94.04,106.77,125.52,7171638
2023-09-01,104.21,154.19,93.27,137.57,131.33,2881297
2023-09-04,135.05,153.83,96.68,132.85,146.32,7083059
2023-09-05,103.64,155.19,98.08,147.83,100.96,5529275
2023-09-06,141.09,150.47,97.62,103.45,123.84,9519792
2023-09-07,135.31,151.66,97.98,102.85,134.39,2135627
2023-09-08,104.07,157.38,94.36,114.11,136.14,1245300
2023-09-11,104.24,150.83,98.18,113.09,134.63,9972618
2023-09-12,149.33,156.03,91.2,112.35,106.72,1092036
2023-09-13,118.71,152.45,95.44,145.31,114.97,6995802
2023-09-14,118.53,153.89,90.06,112.48,117.94,7439051
2023-09-15,140.64,152.89,93.25,113.6,140.22,1853392
2023-09-18,147.36,153.56,93.66,137.97,113.94,7015877
2023-09-19,149.3,157.19,93.96,122.49,110.54,9670304
2023-09-20,137.67,152.97,96.95,138.84,147.87,4662340
2023-09-21,118.81,155.66,93.89,103.27,100.44,1154692
2023-09-22,104.18,154.76,94.49,124.38,149.89,9362101
